Date, Revenue 
2016-11-18," $5,117.27 "
2016-11-19," $2,263.38 "
2016-11-20," $1,284.10 "
2016-11-21," $3,262.75 "
2016-11-22," $3,356.80 "
2016-11-23," $5,389.50 "
2016-11-24," $5,520.67 "
2016-11-25," $16,919.45 "
2016-11-26," $6,181.26 "
2016-11-27," $10,096.76 "
2016-11-28," $29,002.92 "
2016-11-29," $7,408.63 "
2016-11-30," $5,777.21 "
2016-12-01," $5,461.05 "
2016-12-02," $3,756.78 "
2016-12-03," $3,222.42 "
2016-12-04," $2,876.60 "
2016-12-05," $3,940.18 "
2016-12-06," $11,884.84 "
2016-12-07," $6,743.94 "
2016-12-08," $6,253.17 "
2016-12-09," $10,313.50 "
2016-12-10," $3,766.75 "
2016-12-11," $8,144.53 "
2016-12-12," $9,576.03 "
2016-12-13," $5,797.55 "
2016-12-14," $10,445.64 "
2016-12-15," $5,018.91 "
2016-12-16," $8,990.93 "
2016-12-17," $2,526.74 "
2016-12-18," $1,915.50 "
2016-12-19," $4,862.74 "
2016-12-20," $2,215.75 "
2016-12-21," $2,451.90 "
2016-12-22," $4,063.30 "
2016-12-23," $1,276.00 "
2016-12-24, $593.75 
2016-12-25, $980.09 
2016-12-26," $1,469.75 "
2016-12-27," $4,358.62 "
2016-12-28," $1,535.50 "
2016-12-29, $666.60 
2016-12-30, $507.75 
2016-12-31, $212.25 
2017-01-01," $1,825.05 "
2017-01-02," $1,721.30 "
2017-01-03," $2,513.20 "
2017-01-04," $1,827.30 "
2017-01-05," $8,363.70 "
2017-01-06," $4,030.64 "
2017-01-07," $1,165.25 "
2017-01-08," $1,028.50 "
2017-01-09," $4,807.09 "
2017-01-10, $754.65 
2017-01-11," $1,650.50 "
2017-01-12," $2,666.25 "
2017-01-13," $2,421.25 "
2017-01-14, $752.25 
2017-01-15, $972.60 
2017-01-16," $1,204.25 "
2017-01-17," $3,137.82 "
2017-01-18," $2,926.77 "
2017-01-19," $5,739.40 "
2017-01-20," $1,525.50 "
2017-01-21, $686.00 
